Galactocentric Raidus,Cluster Metallicity,Number of Objects in the Cluster,Cluster Mass,Observational Core Radius,Observational Half-Light Radius,Central Surface Brightness Total,Binary Fraction,Half-Mass Relaxation Time,Total Luminosity of Cluster at 12 Gyrs,Central Velocity Dispersion 3d,Total V-band luminosity,Central surface brightness from King 62 fitting of cumulative luminosity profile from snap-2D.dat,Core radius obtained from King 62 fitting of snap-2D.dat,Half-light radius obtained from King 62 fitting,Total luminosity from snap-2D,Single Black Holes,Binary Black Holes,Black Hole Other Count,Mass of Most Massive Black Hole,Fallback Enabled,Central Velocity Dispersion,,
1.585053905,0.001,152582,70169.9297,0.445714114,1.44665596,5734.68876,0.141281,657.787005,47994.01,2.73854626,33979,5908.430745,0.689810652,1.65376,33979,0,0,1,312.543999,1,5.32006,8404.7,17747
12.68043124,0.001,604796,198435.278,0.323232552,2.340727,7844.53082,0.179801,4259.42644,82028.669,8.35265198,61078,9946.050704,0.567131153,2.48824,61078,0,0,3,12.2272723,0,5.42245,15217,26754
12.68043124,0.001,599805,197263.342,0.954595579,2.94499584,2308.13545,0.18453,4700.54206,90829.4397,7.01555592,62828.8,4047.198165,1.026619577,3.15368,62828.8,4,0,2,13.5539928,1,4.8388,4149,11174
12.68043124,0.001,594078,206007.029,2.00957776,4.91210465,611.793609,0.257256,8125.95101,88608.2663,8.16352854,64664.4,1066.021605,2.460006796,5.17488,64664.4,1,0,1,13.5387213,0,3.92976,1173.1,3635.6
12.68043124,0.001,589073,203485.545,4.13913599,6.17502909,295.955491,0.248859,9892.69468,91990.4425,2.54725071,66031.8,488.439558,4.802026139,6.46079,66031.8,41,1,6,26.8630258,1,4.02194,479.11,2454.7
4.48320946,0.001,180718,71412.2002,0.943375614,2.81620065,1032.92223,0.220432,2358.12302,39442.7857,2.16739189,30606.7,1999.390354,0.841195451,3.03679,30606.7,0,0,1,149.406282,0,2.77552,2028,5146.5
4.48320946,0.001,166307,67664.8992,0.088850381,2.68087688,831.661836,0.238841,2255.68677,34123.0675,3.3242124,27367.4,2359.388161,0.855434321,2.80417,27367.4,0,1,0,23.9003619,1,2.8137,2080.2,4679.3
4.48320946,0.001,478827,154710.19,0.149566074,2.98269381,428647.533,0.0925136,3960.74908,82675.4275,6.36992302,48638.3,3619.955103,0.893196174,3.23121,48638.3,1,0,0,8004.61382,0,12.1581,14875,22959
4.48320946,0.001,464845,153114.15,0.051021311,3.01625392,88877.9138,0.090314,3941.78075,65413.6415,15.0508342,48379.8,4525.553435,0.737939117,3.31832,48379.8,1,0,0,11861.2868,1,12.5622,152220,29732
4.48320946,0.001,483989,160462.537,0.255760533,3.82928486,143946.398,0.125451,5052.63577,69364.9355,6.10384175,51337.4,1854.288963,1.373618039,4.0165,51337.4,1,0,0,5218.91693,0,9.26866,5375.8,16298
